,index,sequences,mean_fixation_duration,fixation_rate,Hs,Ht,N_unique_seq_3,N_unique_seq_4,N_unique_seq_5,N_unique_seq_6,par_id,group
0,2,PXBPXZEXPXPBPXBEXZEXEXEXEXPXPXEBXBXBXBXBPBXBXBXBXEXEXEXZBXPXEXEXEXEXEXEXBXBPX,1.4813676233766406,0.5071469920374234,2.019480913110566,1.19515611209154,28,41,50,56,003,1
1,3,XEPXEXBXBPXEXQEXEBXZEXZPZEXEQZXEXEXEXQXEXEXEPQXEXEXPXEXQXPXBXEBXPEBXZEPDEBXBPXZEXEBXEXBEXEBXEBXEZXZXPDEXBPXBXEPXEBEBXEXEQXZBXEXPXZBQXEBXPXEXBEXZBEBEXBXEPXBXEXPDBXDBX,0.6946077818181899,1.0322553651128512,2.363474113638916,1.7274009140545477,65,106,134,155,004,1
2,6,XEXZEXZXEPBXBDEPXQXEDXBXPXEXZXZXEQXBPBXEXEXBXEQXPEPXEBEBZXEBPBXEXBEBXBEPXEXBXBEDXZBXBXEZBXBXBXBXZXBXBXBXBXBXPXEBXBXBXPXBXEXBXBXBX,0.9197165426356524,0.8217084257083824,2.2554569686729726,1.6104470716502972,54,80,100,109,007,1
3,7,EBEZEXEZEZXEXPXEXEXBEXEQXPXPXZEPXEPXPXZXPEXZXEXBXBXPXEBXBXEBEBX,0.8906571269841198,0.3993609059118002,2.2147629664381068,1.5278710910416424,37,54,58,58,008,1
4,9,XZXEBEXEQXEBXEQDQXBZEXZXDPEQXEXQXBXEPXPXZXPXPXEXEQEBXBXBEXBXEBQEXBXPXDEBXEXDBXZXBXZEBXEBXEXBXBXPXEXEXBXZEBX,1.1856649345794388,0.6646656544781935,2.399559277023169,1.6598450989457585,53,79,94,99,010,1
5,19,ZEXEXEBXBXZQXEXZXBZXBXEXZXBXQXDBEXZXZEXBXZQXQZXQXDBXBXEBXBEXBXBXBXDXBXZXQXEXBXBXZXZBXBXEXBXDXBXBXEXDBXEXQXBXEXBZBZBZDZBXBXBXBXBXBXBX,0.7041665833333339,0.8408446345506398,2.170055110162208,1.4668745328663233,45,71,95,111,023,1
6,21,DBXEQXEXBQXBEQXDXEQXBXEQXEQXPXPXZQEBXPXEXQXBXEXBXZBXBXEBXEZXBXBXBXBXEXBXBEXBXEX,1.1777431645569674,0.5784877327465756,2.2746717328050883,1.4189056836689857,37,54,64,69,027,1
7,22,XEXQXEBXBPXPXEXEXEXEXEBXDQXQBXEQZXEQXQXQXQBPQPXPXBPXEXBXEBXBXBPXBXBXBXEDEXEXBXEBPXBEXBXBPBXEXEBXZEXBPBXEXEXBXZXEBXZXZDXBEXEBXZXZBXEXBXDXZDXBXEDBXEXBXBXBXBXBXZ,0.7623908924050633,0.9530677701277267,2.349003878717382,1.6252275017494182,54,86,114,133,029,1
8,23,XEXEXQXQXQXDXZXQXZXQXQBPXQXEXEXBXQBXPXQXPXEXQXQBXBXQXQBXBXBPXBXBXBXBXBXBXBXEXZEX,1.2640185625,0.6154372778790702,2.173612822952365,1.283502981669773,31,46,56,63,032,1
9,0,XBXEXEPEXBXBEQEXBEXBDBEXQEXEQEXBEQPXEBXEBQBXBEPQPXBXBEBXBXBXBXBEXBXBXBXBEXEXBXBXBEXBXBXBXBEDXEXBXBXBXBXBXEXBXBXBXPXEXBXBXBXBXBXBXBX,0.7900474427480856,0.8452109778221288,1.9748731990285768,1.162732715425286,38,59,71,82,001,2
10,1,XEXEBPXEQXEPEXEQXBPXEQZXQEBZBXEBXEQXEXEBPQPBEXBXEBPBXBPBPBXBXBPBXBXBXBXEBXBXEXBEXPXBEXEBXBXEXBEXEXEBXBEXBXBEXBPXBXEXDEBXBXBEPXBXBXBXBEXEXBPXBEXDXBXEXEXBX,0.7410118169934657,1.000138574755858,2.171284529960576,1.5097721033153106,46,73,104,129,002,2
11,4,EZBZPZEZEBEXEXEZEXEXPEXPQXEPEXEXBXPXBEXBXBXPXPXPXEXBXBEXPXBXEXPXBXPXBXBXPXBXBXBXBXBXBX,1.1648374767442085,0.5734226458218286,2.1627580441025183,1.3158553209081616,32,47,59,67,005,2
12,5,XEXEXEXEXEQXBXEXDXEBQXQXQEQXQXZXZXZXBXEBXBXBXBXBXZXBXBXBXEXBXBXBEXBXZXBXBXBEXBXBEXBXBXEXBX,1.3328151999999995,0.5696416760179678,2.001587078927198,1.2376805826444548,27,39,49,58,006,2
13,8,EXEBEXZEZXZEDQBXZEDXEZEXEXEZXEBQDZXEZBXEDBQXEXBEXQXQXPXBEZDEBEBXBXEXBXEBXEBXEBXZXZXZBXDEXBEXBEDXBEBXBEBXBXBEXBXBXBXEXBXBXBXBXBXBXBX,0.5524111526717574,0.8742855993796074,2.2865365820331482,1.676324603351162,56,86,99,107,009,2
14,10,XEBXEDXBZXZXEDBXZEQXZXEQBXEZBXBXBZBXBXBXBXBXBXBXEXBEXBEBXEXBXBXBXBXBX,1.7258209710145105,0.4480930736850875,2.0618793245805636,1.295266404216272,32,41,47,50,011,2
15,11,XZEZXEQXZXZEZBXZEQBXPEDXEZBEXEBEPEBEBEBZDEPEQBEDXZBEBZEBDXBXEXPXPXPXPXPEBZXEBEDXBXPXEDBXBXPXZXDEXBEXBXPXBXBXBXEXDZXEXEXBXEXBXBXBXBXBXBX,0.7907028222222237,0.8950662753481112,2.456585058002604,1.8619235702308854,66,97,112,119,014,2
16,12,XEDQEBXEDXZEDEXEDEXBEXQXEDXEXBEQDXQXEZEXEXBDEDXZBDEQXBEXBEXPXBXQXDEBXBXBXBXBEXBEXZBXEDXBXBXBXDXBXBXBXBDBEXBXBXBXBXBEXBXBXZXBX,0.7062337200000138,0.8742269054114603,2.2779626303522136,1.5912815625481405,55,79,93,100,015,2
17,13,XEBEXDEXEBXEXQDXBEXBXEQXBZXDBEXDBEDXEQXZBEDEXQXZXBXBXQEDBXBZXEBEDEXDQEBXDBXBXEBXBXBXEXBXBEDXBEBEXDBXEXBXBXBXBXDEXBXEXBX,0.8597150672268853,0.8881852073649366,2.2344963671556224,1.645487723543915,47,77,98,107,016,2
18,14,XBXQBPBEXEZBEXBXQXDZXDBXEXDBXQBXBPXPXPXEXBPXDEBXBXEXBXPBXBXPBXBXBDEXBPBXBPXDXDBEXBPBEQXBEXBXBXBXPXBEXBEXBPXBXBXBPXEBXBPXBEXEXBXBXZXBXBXBXZDXBXBXBXBXBX,0.6157633800000061,1.006773910460884,2.2231961855289097,1.5315680585117466,54,82,111,131,017,2
19,15,XEZEXEXBPBPBEXBEXQXEXEDEXEZBDEDXEQEXQXQEBXDBQZBEBXEDEZBEXEZXBPBEBEBXZBEXDBEXEXDEXZBXEBXZXDZEBXBEXEBXZEXEXEDBXEBXEDXBXEZEBXEZXBEDBXEBXBXBZBXEDXBEXEXBXBXDXBXZBEXEBXDBX,0.7032631212121219,1.057821470406207,2.3735992094465725,1.8205774187798438,66,110,141,155,019,2
20,16,XEZEZEZDEDXEZQXDEZEZBXQXDXEQXQXEQZXZXZBXZXZXEZXEQZXZXBXBZEZEXBXZXZXQXBXBXPXEXBXBEXBXBPBXEZXBZQXEXEZXEXPXEXEBXEXEBXBXEX,1.1003776355932204,0.7330002534627915,2.3952702938149506,1.764753236832343,54,87,104,109,020,2
21,17,QXBDEXEXBZXEXBXZXEDXEBXZXQZXBDXZBXBXBDEXZBXBXBXZXBXBXBXBXBXBEXDXEBXEXBEXZBXBEXQXEXBXBXDBXEXDBXBEXBXBXEXEXBX,0.9592709532710341,0.7057920208747684,2.129291172987059,1.4267425404664065,39,60,79,92,021,2
22,18,XEQEXZEDEXEDXEXEXDBXEXEXEZBXDXBXEZXEXQXQXQXDBQXEBXBXQBXZXBXBXBXDXBXEDBXBXBEXBXBEZBXEQXDBXDXEBXDXBXBXEXBXBXDXBXBXBXEXBXBX,0.9418217916666777,0.7947721267109965,2.1945559721847214,1.5262747430566088,48,72,89,98,022,2
23,20,EBEBEBEXEQEBEBEBEQEXBEBEBZEDXBXEDQEQEDEDBQEQEBXBEBDBDBQEBXBXBXQBXBXQXBDBXEXBXBXBXBXBXBXBXBEDXBXBXDEDXBXBXEQXBEXBXBXDEXBXDEXBEXEBXDX,0.7789353740458066,0.9035705009089992,2.1913722580700608,1.5891382135782282,48,75,96,107,025,2
